FID IID BAPS_1 BAPS_2 BAPS_3 BAPS_4 BAPS_5 BAPS_6 BAPS_7 BAPS_8 BAPS_9 BAPS_10
307047_D05_hpgen5583687 307047_D05_hpgen5583687 0 1 0 0 0 0 0 0 0 0
307047_C03_hpgen5583670 307047_C03_hpgen5583670 0 1 0 0 0 0 0 0 0 0
307048_D04_hpgen5583776 307048_D04_hpgen5583776 0 1 0 0 0 0 0 0 0 0
307050_C09_hpgen5584011 307050_C09_hpgen5584011 0 1 0 0 0 0 0 0 0 0
307050_F10_hpgen5584022 307050_F10_hpgen5584022 0 1 0 0 0 0 0 0 0 0
307050_H08_hpgen5584008 307050_H08_hpgen5584008 0 1 0 0 0 0 0 0 0 0
307051_E06_hpgen5584087 307051_E06_hpgen5584087 0 1 0 0 0 0 0 0 0 0
307050_H02_hpgen5583960 307050_H02_hpgen5583960 0 1 0 0 0 0 0 0 0 0
307050_C08_hpgen5584003 307050_C08_hpgen5584003 0 1 0 0 0 0 0 0 0 0
307050_E12_hpgen5584038 307050_E12_hpgen5584038 0 1 0 0 0 0 0 0 0 0
307051_E02_hpgen5584054 307051_E02_hpgen5584054 0 1 0 0 0 0 0 0 0 0
307051_D04_hpgen5584070 307051_D04_hpgen5584070 0 1 0 0 0 0 0 0 0 0
307052_D03_hpgen5584176 307052_D03_hpgen5584176 0 1 0 0 0 0 0 0 0 0
307052_F05_hpgen5584206 307052_F05_hpgen5584206 0 1 0 0 0 0 0 0 0 0
307051_F11_hpgen5584129 307051_F11_hpgen5584129 0 1 0 0 0 0 0 0 0 0
307051_C12_hpgen5584136 307051_C12_hpgen5584136 0 1 0 0 0 0 0 0 0 0
307052_H05_hpgen5584208 307052_H05_hpgen5584208 0 1 0 0 0 0 0 0 0 0
307052_G04_hpgen5584193 307052_G04_hpgen5584193 0 1 0 0 0 0 0 0 0 0
307051_E12_hpgen5584138 307051_E12_hpgen5584138 0 1 0 0 0 0 0 0 0 0
307052_G11_hpgen5584262 307052_G11_hpgen5584262 0 1 0 0 0 0 0 0 0 0
307051_H11_hpgen5584131 307051_H11_hpgen5584131 0 1 0 0 0 0 0 0 0 0
307052_H08_hpgen5584238 307052_H08_hpgen5584238 0 1 0 0 0 0 0 0 0 0
